ID,Image,NameJP,NameEN,Gender,Role,Position,Element,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Age Group,School Year
13,https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png,Jin Kageno,Jim Wraith,Male,Player,DF,Forest,87,91,92,99,104,89,112,Middle School,Grade 8
14,https://dxi4wb638ujep.cloudfront.net/1/k/u/y/uy2tfhpjks0.png,Kakeru Megane,William Glass,Male,Player,FW,Forest,113,111,100,90,87,83,99,Middle School,Grade 8
15,https://dxi4wb638ujep.cloudfront.net/1/k/e/4/e4qtt3lwf_m.png,Kazuya Ichinose,Erik Eagle,Male,Player,MF,Forest,103,111,108,90,90,83,99,Middle School,Grade 8
16,https://dxi4wb638ujep.cloudfront.net/1/k/-/x/-xzmaq-eqf8.png,Asuka Domon,Bobby Shearer,Male,Player,DF,Forest,87,91,92,99,104,89,112,Middle School,Grade 8
17,https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png,Aki Kino,Silvia Woods,Female,Coordinator,GK,Mountain,90,97,91,98,105,111,97,Middle School,Grade 8
18,https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpndk6oxjls.png,Haruna Otonashi,Celia Hills,Female,Coordinator,MF,Wind,104,112,109,91,92,85,100,Middle School,Grade 7
19,https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xikbkjcdmjs.png,Natsumi Raimon,Nelly Raimon,Female,Coordinator,FW,Fire,121,115,105,88,85,85,93,Middle School,Grade 8
20,https://dxi4wb638ujep.cloudfront.net/1/k/9/w/9wtikebapts.png,Kojiro Genda,Joseph King,Male,Player,GK,Fire,90,97,91,98,105,111,97,Middle School,Grade 8
21,https://dxi4wb638ujep.cloudfront.net/1/k/d/5/d5w9zd0i6nc.png,Densuke Ono,Peter Drent,Male,Player,DF,Mountain,87,90,92,99,103,89,112,Middle School,Grade 8
22,https://dxi4wb638ujep.cloudfront.net/1/k/s/r/srbc08syx-0.png,Kazumichi Banjo,Ben Simmons,Male,Player,DF,Forest,82,87,85,102,107,89,119,Middle School,Grade 8
23,https://dxi4wb638ujep.cloudfront.net/1/k/u/w/uwgaalaes40.png,Kenya Narukami,Alan Master,Male,Player,MF,Wind,97,113,114,85,81,81,101,Middle School,Grade 7
24,https://dxi4wb638ujep.cloudfront.net/1/k/f/y/fy3h3amk_lc.png,Masaru Gojo,Gus Martin,Male,Player,DF,Forest,87,91,92,99,104,89,112,Middle School,Grade 8
25,https://dxi4wb638ujep.cloudfront.net/1/k/_/3/_3uukhtskrs.png,Wataru Henmi,Herman Waldon,Male,Player,MF,Wind,97,113,114,85,81,81,101,Middle School,Grade 8
26,https://dxi4wb638ujep.cloudfront.net/1/k/o/f/ofl1j41wnye.png,Shuji Sakiyama,John Bloom,Male,Player,MF,Fire,97,113,114,85,81,81,101,Middle School,Grade 8
27,https://dxi4wb638ujep.cloudfront.net/1/k/6/1/61at4120ans.png,Shuichiro Domen,Derek Swing,Male,Player,MF,Wind,97,113,114,85,81,81,101,Middle School,Grade 7
28,https://dxi4wb638ujep.cloudfront.net/1/k/l/d/ldrmvkqotue.png,Daiki Jimon,Daniel Hatch,Male,Player,FW,Forest,112,109,99,88,86,81,97,Middle School,Grade 8
29,https://dxi4wb638ujep.cloudfront.net/1/k/l/1/l1wbplzhm4k.png,Yuto Kido,Jude Sharp,Male,Player,MF,Wind,104,112,109,91,92,85,100,Middle School,Grade 8
30,https://dxi4wb638ujep.cloudfront.net/1/k/u/d/udbgi0_9hlm.png,Jiro Sakuma,David Samford,Male,Player,FW,Forest,121,115,105,88,85,85,93,Middle School,Grade 8
31,https://dxi4wb638ujep.cloudfront.net/1/k/0/y/0yivxpk1ur8.png,Yuhei Hyodo,Bob Carlton,Male,Player,GK,Forest,84,92,86,97,101,104,92,Middle School,Grade 8
32,https://dxi4wb638ujep.cloudfront.net/1/k/f/a/fat0cwsp5yu.png,Kazuki Ena,Cliff Tomlinson,Male,Player,FW,Wind,111,108,98,87,85,80,96,Middle School,Grade 9
33,https://dxi4wb638ujep.cloudfront.net/1/k/h/7/h7uoyp-j8eu.png,Kei Mukumoto,Jim Lawrenson,Male,Player,FW,Wind,118,112,102,83,81,81,89,Middle School,Grade 7
34,https://dxi4wb638ujep.cloudfront.net/1/k/2/t/2tljfwyzrt8.png,Shodai Shibuki,Barry Potts,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 9
35,https://dxi4wb638ujep.cloudfront.net/1/k/w/8/w8g8mttrknm.png,Seiji Okusu,Steve Ingham,Male,Player,FW,Mountain,111,108,98,87,85,80,96,Middle School,Grade 8
36,https://dxi4wb638ujep.cloudfront.net/1/k/8/w/8wocttgsuu0.png,Reiji Kageyama,Ray Dark,Male,Manager,MF,Wind,97,113,114,85,81,81,101,Adult,-
37,https://dxi4wb638ujep.cloudfront.net/1/k/n/y/ny_j-sgwdnc.png,Masaru Anzai,Stephen Black,Male,Coach,DF,Forest,86,88,91,97,102,88,111,Adult,-
38,https://dxi4wb638ujep.cloudfront.net/1/k/v/a/vaeuza7dvs8.png,Juzo Nata,Nathan Jones,Male,Player,GK,Wind,85,93,88,95,103,109,94,Middle School,Grade 8
39,https://dxi4wb638ujep.cloudfront.net/1/k/p/v/pv9hgholaym.png,Wataru Sanzu,Russell Walk,Male,Player,DF,Forest,82,85,83,102,106,87,118,Middle School,Grade 8
40,https://dxi4wb638ujep.cloudfront.net/1/k/-/h/-hman4ox3bk.png,Shigeru Yanagida,Jason Jones,Male,Player,DF,Wind,82,85,83,102,106,87,118,Middle School,Grade 7
41,https://dxi4wb638ujep.cloudfront.net/1/k/8/m/8mlcjh6dyhk.png,Ken Furan,Ken Furan,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 9
42,https://dxi4wb638ujep.cloudfront.net/1/k/n/o/no69oecnf0m.png,Fujimi Shikabane,Jerry Fulton,Male,Player,DF,Fire,86,88,91,97,102,88,111,Middle School,Grade 8
43,https://dxi4wb638ujep.cloudfront.net/1/k/t/h/thziddpvqu8.png,Michihisa Reigen,Ray Mannings,Male,Player,MF,Wind,100,109,105,87,88,81,97,Middle School,Grade 8
44,https://dxi4wb638ujep.cloudfront.net/1/k/c/j/cjopw8pvhnu.png,Mami Kinoi,Robert Mayer,Male,Player,MF,Forest,100,109,105,87,88,81,97,Middle School,Grade 8
45,https://dxi4wb638ujep.cloudfront.net/1/k/o/j/ojxxbxm3gy8.png,Tataru Yatsuhaka,Alexander Brave,Male,Player,MF,Fire,100,109,105,87,88,81,97,Middle School,Grade 8
46,https://dxi4wb638ujep.cloudfront.net/1/k/z/l/zlmqsoqnnru.png,Hiroyuki Yukoku,Johan Tassman,Male,Player,FW,Forest,119,113,102,85,81,81,90,Middle School,Grade 7
47,https://dxi4wb638ujep.cloudfront.net/1/k/3/j/3j9d2pjesh0.png,Kenichi Tsukimura,Troy Moon,Male,Player,MF,Fire,97,112,113,83,81,81,100,Middle School,Grade 9
48,https://dxi4wb638ujep.cloudfront.net/1/k/g/l/glm8bwf-b0c.png,Kiba Burado,Burt Wolf,Male,Player,MF,Mountain,97,113,114,85,81,81,101,Middle School,Grade 8
49,https://dxi4wb638ujep.cloudfront.net/1/k/m/k/mkvjitw20us.png,Matsuru Fushi,Rob Crombie,Male,Player,GK,Mountain,84,92,86,97,101,104,92,Middle School,Grade 9
50,https://dxi4wb638ujep.cloudfront.net/1/k/x/m/xmeolswmzne.png,Gen Hitogata,Chuck Dollman,Male,Player,FW,Forest,118,112,102,83,81,81,89,Middle School,Grade 8
51,https://dxi4wb638ujep.cloudfront.net/1/k/v/t/vtz0llegche.png,Michi Tsuburaya,Uxley Allen,Male,Player,FW,Wind,111,108,98,87,85,80,96,Middle School,Grade 8
52,https://dxi4wb638ujep.cloudfront.net/1/k/k/f/kfovm0iaxss.png,Noroi Kurogami,Phil Noir,Male,Player,FW,Forest,111,108,98,87,85,80,96,Middle School,Grade 8
53,https://dxi4wb638ujep.cloudfront.net/1/k/e/q/eqlg1pxseyc.png,Takao Makai,Mick Askley,Male,Player,MF,Forest,97,112,113,83,81,81,100,Middle School,Grade 9
54,https://dxi4wb638ujep.cloudfront.net/1/k/p/5/p54_qlu6ghc.png,Haito Jikiru,Hekyll Jyde,Male,Manager,DF,Mountain,86,88,91,97,102,88,111,Adult,-
56,https://dxi4wb638ujep.cloudfront.net/1/k/t/2/t2vvykaoccs.png,Honori Chochin,Lanny Tern,Female,Coordinator,GK,Wind,84,92,86,97,101,104,92,Middle School,Grade 8
57,https://dxi4wb638ujep.cloudfront.net/1/k/p/a/pakshsy_xr0.png,Hyogo Inokuchi,Charlie Boardfield,Male,Player,GK,Fire,84,92,86,97,101,104,92,Middle School,Grade 9
58,https://dxi4wb638ujep.cloudfront.net/1/k/v/v/vvpnupt3ele.png,Ryota Torii,Hugo Tallgeese,Male,Player,MF,Fire,100,109,105,87,88,81,97,Middle School,Grade 7
59,https://dxi4wb638ujep.cloudfront.net/1/k/e/h/ehyg5wlnp4s.png,Takuto Uozumi,Wilson Fishman,Male,Player,DF,Forest,82,85,83,102,106,87,118,Middle School,Grade 8
60,https://dxi4wb638ujep.cloudfront.net/1/k/c/m/cmfaxpzhs-s.png,Tatsuhito Kaeruda,Peter Johnson,Male,Player,DF,Forest,82,85,83,102,106,87,118,Middle School,Grade 7
61,https://dxi4wb638ujep.cloudfront.net/1/k/t/o/tou76w_bbne.png,Ko Shishio,Leonard O'Shea,Male,Player,DF,Mountain,86,88,91,97,102,88,111,Middle School,Grade 9
62,https://dxi4wb638ujep.cloudfront.net/1/k/n/h/nhnoplkt0t0.png,Leon Kame,Cham Lion,Male,Player,MF,Wind,101,109,107,88,89,81,97,Middle School,Grade 9
63,https://dxi4wb638ujep.cloudfront.net/1/k/8/j/8j8ve0spzec.png,Seiji Owashi,Steve Eagle,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 8
64,https://dxi4wb638ujep.cloudfront.net/1/k/i/j/ijd315vl-h0.png,Noboru Saruta,Bruce Monkey,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 7
65,https://dxi4wb638ujep.cloudfront.net/1/k/5/l/5lywygjxtsc.png,Shingo Gori,Gary Lancaster,Male,Player,FW,Mountain,111,108,98,87,85,80,96,Middle School,Grade 8
66,https://dxi4wb638ujep.cloudfront.net/1/k/x/j/xjpbcha4y-8.png,Shoma Hebimaru,Harry Snake,Male,Player,FW,Forest,111,108,98,87,85,80,96,Middle School,Grade 9
67,https://dxi4wb638ujep.cloudfront.net/1/k/m/l/mly6v4mcfnu.png,Chiita Suizenji,Adrian Speed,Male,Player,FW,Wind,119,113,102,85,81,81,90,Middle School,Grade 9
68,https://dxi4wb638ujep.cloudfront.net/1/k/g/k/gk7p8ltkqtk.png,Noboru Koara,Alan Coe,Male,Player,MF,Forest,97,112,113,83,81,81,100,Middle School,Grade 7
69,https://dxi4wb638ujep.cloudfront.net/1/k/3/m/3mkura1whem.png,Takeo Ban,Philip Anders,Male,Player,FW,Fire,118,112,102,83,81,81,89,Middle School,Grade 9
70,https://dxi4wb638ujep.cloudfront.net/1/k/1/t/1tny_dnccym.png,Kumami Araigawa,Rocky Rackham,Male,Player,DF,Forest,86,88,91,97,102,88,111,Middle School,Grade 8
71,https://dxi4wb638ujep.cloudfront.net/1/k/e/f/ef8ts8bmvrk.png,Mitsuo Nezu,Matt Mouseman,Male,Player,MF,Mountain,100,109,105,87,88,81,97,Middle School,Grade 8
72,https://dxi4wb638ujep.cloudfront.net/1/k/k/q/kqfmbh0ualu.png,Kuya Ushio,Chad Bullford,Male,Player,GK,Fire,84,92,86,97,101,104,92,Middle School,Grade 9
73,https://dxi4wb638ujep.cloudfront.net/1/k/e/-/e-qruphieye.png,Kosuke Tazan,Harry Savage,Male,Manager,MF,Wind,100,109,105,87,88,81,97,Adult,-
74,https://dxi4wb638ujep.cloudfront.net/1/k/n/z/nz2ghxvgpic.png,Minko Fura,Flammie Gonzalez,Female,Coordinator,FW,Fire,118,112,102,83,81,81,89,Middle School,Grade 8
75,https://dxi4wb638ujep.cloudfront.net/1/k/l/s/lsetbtpeusc.png,Takeshi Sugimori,Thomas Feldt,Male,Player,GK,Forest,85,93,88,95,103,109,94,Middle School,Grade 9
77,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rdnyso6mbms.png,Yu Hiroyama,Harry Leading,Male,Player,DF,Wind,82,85,83,102,106,87,118,Middle School,Grade 7
79,https://dxi4wb638ujep.cloudfront.net/1/k/a/r/arw5_xc22_e.png,Tsuyoshi Hanaoka,Terry Stronger,Male,Player,DF,Fire,82,85,83,102,106,87,118,Middle School,Grade 8
81,https://dxi4wb638ujep.cloudfront.net/1/k/y/k/ykrlrooaz5e.png,Kyo Murobushi,Philip Marvel,Male,Player,DF,Mountain,86,88,91,97,102,88,111,Middle School,Grade 8
83,https://dxi4wb638ujep.cloudfront.net/1/k/p/i/pige8xogeks.png,Nori Inada,Noel Good,Male,Player,DF,Forest,86,88,91,97,102,88,111,Middle School,Grade 8
85,https://dxi4wb638ujep.cloudfront.net/1/k/j/n/jndxvkdorqc.png,Iwao Terakawa,Tyron Rock,Male,Player,MF,Fire,97,112,113,83,81,81,100,Middle School,Grade 9
87,https://dxi4wb638ujep.cloudfront.net/1/k/4/l/4lyqc17sgz0.png,Kei Fujimaru,Francis Tell,Male,Player,MF,Forest,100,109,105,87,88,81,97,Middle School,Grade 8
89,https://dxi4wb638ujep.cloudfront.net/1/k/m/p/mpniz44whmc.png,Baku Sango,Samuel Buster,Male,Player,MF,Fire,97,112,113,83,81,81,100,Middle School,Grade 9
91,https://dxi4wb638ujep.cloudfront.net/1/k/9/n/9n8pehekmv0.png,Seri Yamagishi,Jonathan Seller,Male,Player,FW,Wind,119,113,102,85,81,81,90,Middle School,Grade 8
93,https://dxi4wb638ujep.cloudfront.net/1/k/t/p/tpnkegxdt5u.png,Shin Obe,Victor Kind,Male,Player,MF,Forest,100,109,105,87,88,81,97,Middle School,Grade 8
95,https://dxi4wb638ujep.cloudfront.net/1/k/i/n/inwfp5x5ak8.png,Arata Shimozuru,Neil Turner,Male,Player,FW,Fire,119,113,102,85,81,81,90,Middle School,Grade 8
96,https://dxi4wb638ujep.cloudfront.net/1/k/9/h/9hajtrrslge.png,Arata Shimozuru,Neil Turner,Male,Player,FW,Fire,119,113,102,85,81,81,90,Middle School,Grade 8
97,https://dxi4wb638ujep.cloudfront.net/1/k/c/i/ci1w6kex1qm.png,Toboshi Mashimo,Reg Underwood,Male,Player,GK,Forest,84,92,86,97,101,104,92,Middle School,Grade 8
99,https://dxi4wb638ujep.cloudfront.net/1/k/z/g/zgerxbilyzk.png,Shizuka Tsuzuki,Patrick Stiller,Male,Player,MF,Wind,100,109,105,87,88,81,97,Middle School,Grade 7
101,https://dxi4wb638ujep.cloudfront.net/1/k/x/b/xbdn5cwndfk.png,Jin Hirao,Charles Oughtry,Male,Player,MF,Mountain,97,112,113,83,81,81,100,Middle School,Grade 9
103,https://dxi4wb638ujep.cloudfront.net/1/k/a/p/apysu9wdwsm.png,So Nagatomo,Clive Mooney,Male,Player,FW,Fire,111,108,98,87,85,80,96,Middle School,Grade 8
104,https://dxi4wb638ujep.cloudfront.net/1/k/g/g/ggrzhgjvfm8.png,Nashi Mizubuchi,Neil Waters,Male,Player,DF,Forest,86,88,91,97,102,88,111,Middle School,Grade 8
106,https://dxi4wb638ujep.cloudfront.net/1/k/v/w/vwbkdwhyzbs.png,Shinichiro Toyama,Newton Thomas,Male,Manager,MF,Forest,100,109,105,87,88,81,97,Adult,-
107,https://dxi4wb638ujep.cloudfront.net/1/k/n/b/nbqrnz0o4lc.png,So Aidoru,Sam Idol,Male,Player,GK,Mountain,85,93,88,95,103,109,94,Middle School,Grade 8
108,https://dxi4wb638ujep.cloudfront.net/1/k/t/u/tujeeebgnfs.png,Tetsuo Sujimichi,Marcus Train,Male,Player,DF,Fire,82,85,83,102,106,87,118,Middle School,Grade 9
109,https://dxi4wb638ujep.cloudfront.net/1/k/c/g/cg4_z7n8g2e.png,Raito Noberu,Light Nobel,Male,Player,MF,Forest,100,109,105,87,88,81,97,Middle School,Grade 8
110,https://dxi4wb638ujep.cloudfront.net/1/k/e/n/en_jdi1qlwe.png,Hideo Muteki,Walter Valiant,Male,Player,MF,Fire,97,113,114,85,81,81,101,Middle School,Grade 8
111,https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpocwdtqids.png,So Karisawa,Spencer Gates,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 8
112,https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pgt3jami9jc.png,Itsuki Onra,Josh Spear,Male,Player,FW,Forest,111,108,98,87,85,80,96,Middle School,Grade 8
113,https://dxi4wb638ujep.cloudfront.net/1/k/-/i/-icwo_ayqq0.png,Haru Onotomo,Gaby Farmer,Male,Player,FW,Wind,111,108,98,87,85,80,96,Middle School,Grade 8
114,https://dxi4wb638ujep.cloudfront.net/1/k/k/i/kijo_yd63vc.png,Goki Robo,A. Woodbridge,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 7
115,https://dxi4wb638ujep.cloudfront.net/1/k/7/k/7ksvsnlaac0.png,Konomu Geimu,Gus Gamer,Male,Player,FW,Fire,111,108,98,87,85,80,96,Middle School,Grade 8
116,https://dxi4wb638ujep.cloudfront.net/1/k/v/i/vijiimsj7wu.png,Moe Manga,Mark Gambling,Male,Player,FW,Wind,119,113,102,85,81,81,90,Middle School,Grade 8
117,https://dxi4wb638ujep.cloudfront.net/1/k/k/k/kk4dlzkzwd8.png,Tatsuhito Akeito,Theodore Master,Male,Player,FW,Forest,118,112,102,83,81,81,89,Middle School,Grade 9
118,https://dxi4wb638ujep.cloudfront.net/1/k/e/l/elb22u_7jjm.png,Tsutomu Kiuchi,Ham Signalman,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 8
119,https://dxi4wb638ujep.cloudfront.net/1/k/1/n/1nqxbrzboqk.png,Sakuo Zokei,Bill Formby,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 8
120,https://dxi4wb638ujep.cloudfront.net/1/k/3/s/3stl1iltlwk.png,Sota Toma,Grant Eldorado,Male,Player,GK,Fire,84,92,86,97,101,104,92,Middle School,Grade 7
121,https://dxi4wb638ujep.cloudfront.net/1/k/g/e/gecqy3txmlm.png,Sakuta Seimo,Mike Vox,Male,Player,DF,Wind,82,85,83,102,106,87,118,Middle School,Grade 8
122,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mr_flqyftf8.png,Saguri Netto,Ollie Webb,Male,Player,DF,Forest,82,85,83,102,106,87,118,Middle School,Grade 7
123,https://dxi4wb638ujep.cloudfront.net/1/k/b/8/b8ksybiqu-e.png,Saito Maniya,Manny Artic,Male,Manager,MF,Mountain,97,112,113,83,81,81,100,Adult,-
124,https://dxi4wb638ujep.cloudfront.net/1/k/q/u/quvzfkeq5ns.png,Meina Meido,Meina Maiden,Female,Coordinator,DF,Forest,82,85,83,102,106,87,118,Middle School,Grade 8
125,https://dxi4wb638ujep.cloudfront.net/1/k/t/b/tb-t5rxymcu.png,Santa Momochi,Morgan Sanders,Male,Player,GK,Forest,84,92,86,97,101,104,92,Middle School,Grade 9
126,https://dxi4wb638ujep.cloudfront.net/1/k/n/u/nudyqmi6t8k.png,Nagato Fujibayashi,Newton Flust,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 8
127,https://dxi4wb638ujep.cloudfront.net/1/k/8/g/8gs5hzea-pm.png,Jin Kosaka,Jim Hillfort,Male,Player,DF,Wind,82,85,83,102,106,87,118,Middle School,Grade 8
128,https://dxi4wb638ujep.cloudfront.net/1/k/-/n/-nrlpqws7jm.png,Gamasuke Jiraiya,Galen Thunderbird,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 8
129,https://dxi4wb638ujep.cloudfront.net/1/k/p/p/ppaeevwww6k.png,Goeta Ishikawa,Finn Stoned,Male,Player,DF,Fire,82,85,83,102,106,87,118,Middle School,Grade 9
130,https://dxi4wb638ujep.cloudfront.net/1/k/v/g/vg5xxifejau.png,Koheita Fuma,Phil Wingate,Male,Player,MF,Mountain,101,109,107,88,89,81,97,Middle School,Grade 8
131,https://dxi4wb638ujep.cloudfront.net/1/k/e/i/eiiq63jkop8.png,Gen Koga,Jez Shell,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 8
132,https://dxi4wb638ujep.cloudfront.net/1/k/q/i/qi3il6ggpwu.png,Sanosuke Sarutobi,Jupiter Jumper,Male,Player,MF,Wind,100,109,105,87,88,81,97,Middle School,Grade 7
133,https://dxi4wb638ujep.cloudfront.net/1/k/b/k/bkgpmfg8el8.png,Juro Yagyu,Sam Samurai,Male,Player,FW,Forest,118,112,102,83,81,81,89,Middle School,Grade 9
134,https://dxi4wb638ujep.cloudfront.net/1/k/1/i/1idk8ep1ljc.png,Hanzo Hatsutori,Hank Sullivan,Male,Player,MF,Forest,101,109,107,88,89,81,97,Middle School,Grade 8
135,https://dxi4wb638ujep.cloudfront.net/1/k/e/k/eksfr7ppi60.png,Saiji Kirigakure,Sail Bluesea,Male,Player,FW,Fire,119,113,102,85,81,81,90,Middle School,Grade 8
136,https://dxi4wb638ujep.cloudfront.net/1/k/k/l/klpwcmch9ae.png,Yasaburo Hachiya,John Reynolds,Male,Player,FW,Wind,118,112,102,83,81,81,89,Middle School,Grade 8
137,https://dxi4wb638ujep.cloudfront.net/1/k/v/n/vn-rvz69qps.png,Dan Kato,Dan Hopper,Male,Player,DF,Mountain,86,88,91,97,102,88,111,Middle School,Grade 8
138,https://dxi4wb638ujep.cloudfront.net/1/k/x/s/xs5nbaorvvs.png,Kiyomori Ideura,Cal Trops,Male,Player,MF,Forest,100,109,105,87,88,81,97,Middle School,Grade 9
139,https://dxi4wb638ujep.cloudfront.net/1/k/m/e/meiss_or4ce.png,Kazuma Takigawa,Winston Falls,Male,Player,MF,Wind,100,109,105,87,88,81,97,Middle School,Grade 7
140,https://dxi4wb638ujep.cloudfront.net/1/k/g/r/grrz_i7jn80.png,Yamon Kido,Kevin Castle,Male,Player,GK,Wind,84,92,86,97,101,104,92,Middle School,Grade 8
141,https://dxi4wb638ujep.cloudfront.net/1/k/e/8/e8o-flnjyhm.png,Senichi Igajima,Sammy Igajima,Male,Manager,MF,Fire,100,109,105,87,88,81,97,Elder,-
142,https://dxi4wb638ujep.cloudfront.net/1/k/_/x/_xzxavtxgje.png,Yuichi Ayano,Albert Green,Male,Player,GK,Fire,86,94,88,98,103,105,93,Middle School,Grade 8
143,https://dxi4wb638ujep.cloudfront.net/1/k/f/4/f4qetiy5zd0.png,Eisuke Sumino,Seward Hayseed,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 7
144,https://dxi4wb638ujep.cloudfront.net/1/k/u/q/uqhl-3-dewc.png,Kazunori Serizawa,Kent Work,Male,Player,DF,Forest,82,85,83,102,106,87,118,Middle School,Grade 8
145,https://dxi4wb638ujep.cloudfront.net/1/k/s/x/sxm5qusvb2c.png,Hiroshi Makiya,Mark Hillvalley,Male,Player,DF,Mountain,86,88,91,97,102,88,111,Middle School,Grade 8
146,https://dxi4wb638ujep.cloudfront.net/1/k/d/z/dzxy9rkv2f0.png,Hiro Shiotani,Herb Sherman,Male,Player,DF,Fire,82,85,83,102,106,87,118,Middle School,Grade 9
147,https://dxi4wb638ujep.cloudfront.net/1/k/9/2/920tum_ddle.png,Yo Yamane,Joe Small,Male,Player,MF,Mountain,97,112,113,83,81,81,100,Middle School,Grade 9
148,https://dxi4wb638ujep.cloudfront.net/1/k/m/e/mefmdzznuws.png,Shoji Ikui,Ike Steiner,Male,Player,MF,Forest,97,112,113,83,81,81,100,Middle School,Grade 8
149,https://dxi4wb638ujep.cloudfront.net/1/k/4/0/406uy-afjpe.png,Noboru Ogoi,Orville Newman,Male,Player,MF,Fire,97,112,113,83,81,81,100,Middle School,Grade 8
150,https://dxi4wb638ujep.cloudfront.net/1/k/j/c/jcl1fb8_kas.png,Toru Harano,Tom Walters,Male,Player,MF,Mountain,97,112,113,83,81,81,100,Middle School,Grade 8
151,https://dxi4wb638ujep.cloudfront.net/1/k/n/0/n0q4fa12f2m.png,Daichi Negami,Daniel Dawson,Male,Player,MF,Wind,97,112,113,83,81,81,100,Middle School,Grade 7
152,https://dxi4wb638ujep.cloudfront.net/1/k/w/c/wchzo_tmofk.png,Shigeki Tanushimaru,Stuart Racoonfur,Male,Player,FW,Forest,118,112,102,83,81,81,89,Middle School,Grade 7
153,https://dxi4wb638ujep.cloudfront.net/1/k/2/z/2zcs7imedlu.png,Hisashi Kusao,Lorne Mower,Male,Player,GK,Mountain,84,92,86,97,101,104,92,Middle School,Grade 9
154,https://dxi4wb638ujep.cloudfront.net/1/k/h/b/hbznwda-ww8.png,Uehito Yoneyama,Homer Grower,Male,Player,DF,Mountain,82,85,83,102,106,87,118,Middle School,Grade 9
155,https://dxi4wb638ujep.cloudfront.net/1/k/f/6/f60r4ess1q8.png,Shigeki Inukai,Rolf Howells,Male,Player,DF,Wind,82,85,83,102,106,87,118,Middle School,Grade 8
156,https://dxi4wb638ujep.cloudfront.net/1/k/0/s/0sfwv70oyju.png,Sakuhei Fukui,Luke Lively,Male,Player,DF,Forest,86,88,91,97,102,88,111,Middle School,Grade 8
